filename,is_abnormal,predicted_abnormal,anomaly_score,ocsvm_pred,iforest_pred,lof_pred,ocsvm_score,iforest_score,lof_score
172.16.174.252_01_20251222180416920.wav,False,False,0.7331544153862752,False,True,True,0.0002567912967956776,-0.026175980948310973,-0.16993578183759972
172.16.174.252_01_20251222175909821.wav,False,False,0.9936505164605596,False,False,False,0.04330211365386205,0.04794220443489128,0.031150613871858468
172.16.174.252_01_20251222180548734.wav,False,False,0.9148932151639055,True,False,False,-0.00012837961087242,0.022292948670768753,0.031150613871858357
风扇2.wav,True,True,0.0,True,True,True,-1.4081869029718306,-0.07601483763703576,-1.2706930609241067
172.16.174.252_01_20251222180223584.wav,False,False,0.848157416499831,True,True,False,-0.00012839014535237503,-0.002524167074864081,0.031150613871858468
172.16.174.252_01_20251222180040298.wav,False,False,0.740150249026484,True,True,True,-0.07093553418305132,-0.017195405586519774,-0.17429447052749247
风扇.wav,True,True,0.19074941552935493,True,True,True,-1.2735158929218058,-0.04589438576047078,-0.960537586341174
滑轨.wav,True,True,0.16737076334752826,True,True,True,-1.161009180569478,-0.0678315265067343,-0.9204368847980566
腰托.wav,True,True,0.08515003136195667,True,True,True,-1.3298456679523143,-0.055511862417777946,-1.2223929580505728
172.16.174.252_01_20251222180805160.wav,False,False,0.8914416838262251,False,False,False,0.07148761931742231,0.0075725012245922985,0.031150613871858135
滑轨2.wav,True,True,0.13801095675808747,True,True,True,-1.2146072113229236,-0.05252969084190928,-1.1486516875558488
