feature,mutual_info,f_statistic,combined_score
spectral_rolloff_mean,0.6047258297258302,51.504931976037824,0.9999999999163471
mfcc_9_std,0.5592712842712848,26.746919269944133,0.7220711900486811
mfcc_8_mean,0.5151154401154407,28.663864703976675,0.7041715505152135
mfcc_2,0.4637085137085144,24.497979764229342,0.6212256136215508
mfcc_5_std,0.4880591630591635,21.47719475945006,0.6120340398680565
mfcc_3_std,0.44401154401154463,15.3793051704569,0.5164174021181255
spectral_centroid_std,0.3749639249639256,7.560716295762362,0.38342602139968684
spectral_centroid_mean,0.3576479076479082,7.244258467717363,0.3660366631937245
mfcc_10_std,0.31269841269841314,8.305793057713258,0.3391766521476768
mfcc_4_std,0.24238816738816804,9.160491990506014,0.2893399198859078
mfcc_10_mean,0.14996392496392552,2.51072506020298,0.148366955877572
crest_factor,0.15645743145743207,0.09099096989322102,0.13024560884753056
mfcc_13_std,0.1240981240981247,2.6437492409445524,0.12827194242622209
mfcc_7_std,0.0,1.8525532641241316,0.01798423173320972
mfcc_11_mean,0.0,0.8378815924906485,0.008133993778293292
mfcc_12_mean,0.0,0.8158775611812992,0.007920382863133324
mfcc_2_std,0.0,0.0013511572151488943,1.311677506704488e-05
